id;rating;benefits;side_effects
2731;10;I had fewer headaches and the headaches which I did have were less severe and easier to relieve with medication. I have fewer days off from work and can enjoy life with family and friends without worrying about headaches.;I experience an increase in headache severity after taking the medication as well as nausea and light sensitivity. But I only have to take 1 pill, tolerate the increase in symptoms for about 1/2 hour and my headache is gone. And, I don't have the headache hangover I used to have with other medications.
2068;7;lowered blood sugar;none
2906;8;"Moderately dulled the pain of a collar bone injury. Pain was still existent but I was so ""dopey"" that I didn't care.";I was VERY tired. Felt like I was drunk almost. Could not take twice a day as prescribed because it made me so drowsy.
1633;10;Alleviation of post hysterectomy depression and other post menopause symptoms.;Some headaches at the beginning of the treatment. Some breast tenderness initially.
2974;1;none;visual disturbances, weight gain, insomnia, anxiety, hyperglycemia, headaches, mild hallucinations, water retention, difficulty concentrating, memory lapses, erratic behaviour. these side effects lasted for several weeks after I stopped taking the medication, and my vision did not return to normal for almost a month. my doctor said it was an anti-cholinergic reaction.
1081;5;I'm not entirely sure it was effective at all.;It was really difficult to quite taking Effexor. I had all kinds of panic attacks and severe depression when trying to quite. I must have tried to quite a dozen times. I think this is a dangerous drug.
2925;10;Eliminated the pain without the mental side effects of drugs like Vicodin.;Seemed to be a very mild mood elevator, but that could just have been due to having my mood improved from not being in pain. For the first couple days of taking it I suffered moderate insomnia/waking up during the night. This went away over the course of treatment.
3656;7;I noticed an accelerated skin cell turn over with the peeling and new skin coming through which is brighter and younger looking. With the combination of the Obagi skin care, my skin also became uniform in color overall and the darker or brown spots faded which helps to make my skin look even better. I don't have much wrinkles to speak of except minimal ones around the eye area and laugh lines around the mouth which I did not notice any change or improvement on that. Pimples after an initial phase of getting worst got better and during the monthly period is lesser than before treatment. Definite improvement on that!;Itching, peeling, irritated skin. Appearance of pimples on the shoulder and back of the neck if I apply Retin A on that area.
3642;8;Retin-A smoothed out my skin and reduced fine lines. It particularly helped the kind of lines that radiate from the corner of my eyes down my cheeks. They virtually disappeared, and people remarked within a few months that I looked healthier, less tired, and younger. I was happy with the results of using this product.;Irritated skin, dry skin. When I first started using this product, they gave me a weaker strength and I gradually was given stronger formulas as my skin got used to it. The only problem was that if I used a little too much, even later as my skin was used to the formula, I would wake up with red skin that looked like a sunburn. I eventually moved to using topical ascorbic acid instead of Retin-A, which works well and doesn't cause the skin irritation.
1792;9;I did notice right away a marked improvement in my insomnia and no longer require the clonazepam. I too felt a weight lifted off my shoulders and my disposition improved. I felt much better than I had in years. Little aches and pains in my lower back and hips which I've been treating throught the chiropractor, became more tolerable. My husband was pleased and thinks I'm much easier to live with. I didn't realize how grouchy and difficult I had become.;I have trouble waking and getting up in the morning. My lips are very dry and nothing seems to help. My mouth is also dry first thing in the morning, but improves as the day progresses. I yawn excessively. I don't have as much energy, I have to force myself to take an evening walk.
2435;1;Breathing became easier.;Had leg cramps, dizzyness, muscle weakness, tiredness - progressive over two months of taking Symbicort. The patient died two months after commencing Symbicort. Discussion after death led to physician suggesting this was the cause of a massive MI and death. He was going to report this to the manufacturers.
1666;8;decreased hot flashes;Wondering if changing generic could cause all of the swelling?
32;8;Treatment benefits were reduced anxiety caused by ringing in the ears sufficiently to allow rest and sleep.;Occasional daytime drowsiness, muscle and joint pain seemed more intense while on alprazolam.
3601;8;the drug fluconazole was a quick and easy way to get systemic drug levels to fight skin fungus.;I felt nauseous occasionally while on this drug, and I also had some issues with occasional tiredness. I had no allergic reactions. No other significant side effects.
1130;3;I couldn't stay on it long enought to know if there were any.;I soon started having blurred vision, then extreme dry eyes. I know it sounds strange, but I couldn't focus at work or concentrate. The worst of all, I started having strange pain in my knees and hips that, I had not felt before. It was not my ususal pain. I had foot cramps, couldn't sleep real well. I had extreme hot flashes each day, however, those were tolerable. I am only praying that this will all go away. I really did want to try this, if it helps build bone, but iw wasn't worth it, to me.
3029;10;A very good nights sleep is one of the benefits, found out that the sedative effects are actually increased in the lower doses. I lowered my dosage and live the sound sleep. it knocked out my delusions and hallucinations, hopefully for good.;weight gain is the worst side effect, but a small price to pay for sanity.
445;5;Even split pill severly reduced anxiety, made me feel more relaxed, took away physical feelings associated with anxiety like sweating and racing thoughts. Made it easier to sleep. Continued to work for 12 to 15 hours after taking. Took away mental stress and cleared my mind of all worries.;made me very tierd even after 12 hours. It was very hard to wake up even after having drak 12 ounces of coffee. Throughout the day my mind had an empty feeling that made it hard to jump start my responsiblties. I find it hard to get into physical activity such as going to the gym becuase I am tiered througout the day.
3615;10;Face cleared up in weeks.About 3 mths. I started in the end of November and by mid February my face was extremely clear. I stop using it after my face cleared up, WRONG THING TO DO. Once your face has cleared you still need to continue using it so your face can remain clear.;I got a whole lot of bumps on my face from using heavy amount of retin-a on my face. You only need to use a little to get the job done. It's very strong and needs to be put on very lightly on the bumps. Excessive retin-a will cause you to look worse!
464;5;It cured my tooth abscess, even though Ampicillin had failed to cure it.;Severe Nausea, occasional vomiting, feeling very tired and lethargic.
3769;7;This is supposed to thin the blood. I don't know how you measure this.;The side effect that I noticed was EXTENSIVE bruising wherever the skin is struck or bumped into something.
4139;6;Was effective in treating pain. That is all it was used for.;Severe Itching, Insomnia, Nausea, Vomiting. The Nausea and Vomiting would often last through the next day.
2192;4;I took it when my husband of 30 years left me and my 4 kids for another woman. I couldn't sleep, eat or function. The klonopin helped me sleep, which helped me function. I probably would have committed suicide without it.;I first noticed that I had trouble memorizing things. It was the trouble with equilibrium and balance that motivated me to get off of it. I got to the point where I was a little unsteady walking with flats. I also had morning grogginess, which would gradually get better by lunch time.
1692;10;I am in my 5th week of treatment, and my liver enzymes did come down to normal, but I will see Dr. on 12th to find out if viral load came down.;Some days are better than others.Muscle aches, basically all the flu virus symtoms, plus afeww more.
2327;1;It was suspose to help ease my depression issues that happend when the biploar side of me was not in hyper. It was a new drug it was suspose to be very effeect. Not cause any weight gain. With very little side effects.;I had very bads nightmares for about two nights. The nightmare wre of me hurting my family. I could see myself killing my family it seemed so very real to me I have never experienced any thing like that before in my life. I told my husband to stay up and please watch me to make sure do not do any thing.So I did not take them any more
1820;10;Almost complete pain relief! AMAZING!;none
2816;9;I feel much better emotionally. I was unable to get out of bed before I started treatment, and now I am back to having an interest in life. It doesn't make me nauseous, which is a huge plus as far as I'm concerned. I like that it doesn't cause weight gain or sexual side effects. I was happy that it only made me feel mildly nauseous for a day or so. I feel nearly back to normal emotionally. I was concerned that it made my hands quite shaky for awhile, but after a reduced my caffeine intake, that subsided. My only complaint is that it makes my ears ring. All the time. It is generally easy to ignore during the day, but I have found that I need a fan and a white noise machine set to a high pitch sound (like crickets) in order to be able to ignore it enough to sleep.;It did make me mildly nauseous for the first day that I was on it. After that, all good. It made my hands very shaky for awhile, but that seems to have subsided for the most part, particularly since I cut my caffeine intake. Given that it's an amphetamine derivative, it make since that adding another stimulant might lead to side effects. My only complaint is that it makes my ears ring. All the time. It is generally easy to ignore during the day, but I have found that I need a fan and a white noise machine set to a high pitch sound (like crickets) in order to be able to ignore it enough to sleep.
1957;3;I really could not give any results as I had a severe reaction to the medicine. I broke out in a rash on my elbow to my wrist area and also swelling of my eyes one morning. That is when I stopped taking it approx. 4 days into it.;A severe rash and I also had some swelling of my eye area.
2873;7;There was decrease in my acne and my skin became considerably smoother.;Luckily I did not notice many side effects. I only experienced occasional flaky skin and a very slight stinging sensation.
2594;7;It did help to relieve my anxiety, but sometimes I had to take a full tablet rather than 1/2. It did enable me to ably cope with occasions where I otherwise would have been nervous wreck. I can honestly say that it helped me.;I didn't have any.
243;9;Helped my depression considerably. Also, out of all depression medication I have taken since 1994, I have been able to stop taking Wellbutrin the longest before depression symptoms returned, so I believe eventually I may be able to stop taking Wellbutrin and not have depression symptoms return.;Basically no side effects that I have noticed. Possibly slightly decreased sex drive but nothing compared to other depression medications I have taken. Does not cause weight gain, and may actually cause minimal weight loss. Supposedly may act as stimulant so recommended to take in the a.m. I have noticed maybe slight stimulant effect.
1715;8;The benefits were that the bumps under my skin did gradually get smaller and go away. They stayed away as long as i continued to use the product. An unexpected benefit was the my skin had a nice glow to it, like i had come from a facial and my skin was smoother, after using it for some time.;The side effects were dryness in some areas and peeling, even when not using it, a few days later i would peel. But just flaky, not terrible and no redness.
401;10;Restasis helps with tear related problems: dryness, reflex overtearing, mucous discharge, irritated eyes, redness and lid swelling. It can irritate at the initial time of therapy but with extra artificial tears this effect is lessoned.;some people get prolonged stinging for 5 to 10 minutes and occasionally increased redness and lid swelling
2044;2;Reduction of hot flashes and night sweats.;Constant heavy bleeding that was not controlled on lower dose of progestins. When the progestins were increased, the bleeding tapered off but insomnia became a major issue. Some increased fluid retention in the hands and feet. Breast tenderness.
1996;10;I chose to take vicodin instead of an ibuprofin based pain killer because my holistic doctor believes ibuprofin slows healing time. For me, vicodin has literally no noticable side effects, of course I only took a limited amount for acute pain, which was relieved 100%.;I felt no palpable side effects. I also was very cautious to take no more than what I needed, not only because it can be habit forming but because it can cause constipation which was the last thing I wanted!
3355;10;lowered total blood cholesterol levels. In particular, my LDL (low cholesterol) was lowered significantly, while HDL (good cholesterol) was elevated.;There were no negative side effects of this treatment
4131;2;I didn't feel the urge as much as I did before the medication, but they were still there.;Nausea, depression, suicidal thoughts, vivid dreams
3017;1;NONE;Insomnia, back pain, muscle pain and cramping everywhere especially my legs, joint pain in knees ankles fingers, throat swelling, throbbing and sharp pains behind my knees, heavy feeling in my legs like i was dragging them severe anxiety like i kept picturing myself dying and the poisen running threw my veins(yes creepy) and for about five minutes i was lying in bed and my limbs felt too heavy to move like i was paralized.
2710;9;Prometrium is a form of progesterone that helps ameliorate some common menopausal symptoms, including insomnia.;No noticeable side effects were apparent with this medication.
450;10;"I go to sleep within an hour and a half of taking it. I even get up to use the toilet around 4 am and I have no problem falling back asleep. Tried Ambien for 6 months, but I had to keep upping the dose and I still couldn't sleep. Plus Ambien made my anxiety worse. Now my anxiety is gone and I am generally more content with life. ""I can sweat the small stuff"", if you know what I mean. I did start Prozac about the same time.";"I haven't had any at all, even if I miss a night which is rare. My mornings are slow, but than again I've never been a ""morning person"". One cup of tea and I'm good to go."
1234;6;Less flair ups of the crohns disease. Less diarhea and cramping.;no side effects evidentent
3295;7;"Our home was destroyed in the 1994 Northridge Earthquake. Before the earthquake, I was already experiencing depressive symptoms but was reluctant to take medication for it. After the earthquake, my doctor recommended I give the antidepressants a try for a few months coupled with therapy to get me back on track. About two weeks later, I found myself feeling good again, (in spite of my therapist telling me how screwed up my family was) driving down the freeway, singing at the top of my lungs and playing air drums on the steering wheel of my car. The ""Old me"" was back! Thanks to the medication, I was able to re-organize my life and focus on moving ahead instead of being stuck knowing what things needed to be done but not having the drive or motivation to do them.";"The sexual side effects ultimately led me stop taking the Zoloft. My husband and I found it very frustrating that I was unable to reach climax where before, I had been multi-orgasmic. Because our sex life is very important to us, this became an area of contention that I found to be unacceptable. My inability to reach orgasm was demoralizing for my husband feeling he could no longer please me and for me the frustration of it all made sex seem like too much work to bother with. My libido came to a screeching halt. This depressed both of us so I gradually weaned myself off the Zoloft and shortly thereafter, became pregnant with our first child. One other thing about taking the Zoloft was that after the elevated mood from the initial breakthrough of depression wore off; I found myself living life somewhere in the middle. In addition to the lows no longer being depressingly low, the highs were not as uplifting as before. I was, in essence, comfortably numb. Other side effects were dry mouth, nausea, weight gain, and increased irritability. , although the later could have been due to the stress of our temporary living conditions."
3447;7;the benefits were, I was taking it for excessive prolong spotting and bleeding. Slowly but surely everything did go back to normal, no more excessive bleeding or spotting but it did take like 8 months.;the side effect for me was weight gain and depression.
2346;1;Hair Regrowth;I experienced extreme fatigue, anxiety, depression, gynecomastia, apathy, anorgasma, penile fibrosis, penile numbness, loss of nighttime erections and endless hormonal imbalances. I took this drug for 1 year and 4 months. The anxiety and depression affected me almost immediately although I was completely clueless as to the cause. I cycled through every single anti-depressant and ADHD medication trying to solve this problem. It wasn't until I stopped the medication that I realized it was the Propecia. THESE SIDE EFFECTS HAVE NOT SUBSIDED AT ALL SEVEN MONTHS LATER! I would not wish this on my worst enemy. This drug has literally destroyed my life. I know that no one wants to lose their hair and look unattractive, but just imagine how attractive you will be if you are one of the unfortunate few of us that gets gynecomastia, penile fibrosis, and inability to ejaculate (I CANNOT EVEN MASTRUBATE TO ORGASM after taking this drug). If you value your life then I strongly suggest you find some other way!
471;10;This drug has helped the pain and swelling in my hands and back from psoriatic arthritis. My fingers were also starting to twist, and this has helped to slow that down. The psoriasis on my skin has almost gone completely away. About a week or two before time for the next dose, a little comes back, but nothing like it used to be.;I don't notice any side effects.
3504;10;Maxalt relieved all the typical symptoms of a migraine within half an hour and i could keep going with my day where as before nothing would help. Topamax is my preventative but i still get the occasional that will push through and thats when i use the Maxalt, hence why only afew times a month.;slight fatigue and drowsiness but not enough to make me go to sleep.
2835;9;Helped keep asthma under control. Didn't cause side effects. Was easy to administer. Provided the outcomes we had hoped for. Pleasant taste.;After hearing there were behavioral side effects, I was concerned that my child might experience the same. There were no noticeable side effects.
3829;4;The upper and lower eyelashes grew longer, thicker, and darker. There is less need for mascara or eyelash curlers with this product. Lumigan contains the same active ingredient that Latisse will contain when it is released but the difference is that Lumigan is prescribed as a glaucoma medication while Latisse will be marketed and sold as an eyelash growth product. It does work.;I developed dark under eye circles, itching, redness and a slight headache after each use but I was told that the under eye circles and headaches I experienced were less common side effects. Once the treatment was stopped all of the side effects disappeared including the dark under eye circles. Also, once the treatment is stopped the eyelashes eventually return to their original state.
3636;8;The retin-a seems to have minimized some of my fine lines, and has helped clear my pores, greatly reduced blackheads and minimized white-heads, and almost erradicated cystic blemishes altogether. I believe the product does actually promote quick cell turnover based on the results I have seen thust far.;I have been fortunate to have only experienced minimal irritation. Initially, I had tightness, dry feeling on my face, with some peeling or shedding. This subsequently caused some itching, but, again, no irritation or pain. I noticed when applied to active blemishes, the blemish seemed to worsen, become redder,and seemed like it wouldn't heal, but I have combated that by adding a good, natural moisturizer into my routine after the application.
1685;9;"I recently saw my PCP for my annual exam and had 2 major concerns to discuss with her. The first was some depression issues and the second was that I had recently developed indoor allergies. As is standard my PCP recommended antidepressants and therapy for the depression and Claritin (24hr non-drowsy) for the allergies. The problem is that I am nursing my son and no antidepressants are ""safe"" for nursing mothers (or rather, for our nursing children). On the other hand, my MD approved Claritin although I was nursing. At the end of the session she told to to start on Claritin and come back for the antidepressants once I weened my son. So I started the Claritin and my depression abated. All of my ""depressive"" symptoms were relieved (the inability to sleep at night but feelings of tiredness all day, the aches, the inability to concentrate...). Since I started taking Claritin it was like a switch was flipped and the quality of my life has increased significantly. I feel ""normal"" for the first time in a long time. In terms of my allergies, the sneezing, runny nose and watery eyes have lessened but my red eye concern (the swelling and redness of the area surrounding my eyes) has not been relieved. Regardless, I am happy with the product. I share this in the hope that some scientist out there uses this information to help our elusive understanding of depression and its treatment. Perhaps an alternative for postpartum depression? Many mother's feel guilty weening shortly after birth in order to treat their sadness and if Claritin is approved by your MD for use while nursing, why not try it? Or even as an alternative to conventional depression meds.";It ended my year long depression.
2884;6;I feel that my skin is smoother, and hopefully the wrinkles will not get deeper as quickly as not doing anything.;The side effects were mild. Seemed to be a lot of skin flaking/peeling at first. I find a burning sensation if I am in direct sun so try and avoid that.
3448;5;It did control my periods. Other benefits included a mild feeling of well being and return to health.;spotting, some mild depression, not unlike PMS symptoms when younger. There was some cramping and some spotting.
1798;2;Cried less;Sent me virtually over the edge - extreme anxiety and continually snapping/shouting at everyone. Unable to concentrate, sleeplessness, dizzyness, very dry mouth, continuous clenching of teeth, all my joints painful.
2825;8;Alleviated depression without lethargy, weight gain, a paradoxical effect, or sexual dysfunction. Prozac made me suicidally depressed. MAO-Inhibitors like Parnate worked very well for me, except all of my favorite foods were forbidden. Wellbutrin seemed to be the only antidepressant that lifted me out of my depression, and it had the unanticipated benefit of getting me to quit smoking -- I went from smoking a pack of Camels a day to not smoking.;I often would get pounding headaches, in the front of my skull and at the sides, especially as the day wore on. I also would feel sick to my stomach early in the day, which would be exacerbated by coffee. I got tremors. Occasionally I'd get migaines.
1844;5;Protection aganst pregnancy. Some weight loss, less hungry. Less acne. No effect on sex drive.;So tearful that had to stop taking it. Could cry an cry for 2-3 hours which never happened otherwise. Depressed.
613;10;Estradiol has almost completely eliminated the alternating cold chills and hot flashes that I was experiencing. The full effect of the drug was derived within three days of beginning treatment with Estradiol.;There have been no unpleasant side effects of Estradiol that I could ascertain.
1417;7;Helped me concentrate, did help curb appetite, made me feel younger (more energy), thinking more clearly.;"Could not sleep - slept for maybe 4 hours a night, but even that was ""light"" sleep. Horrible headaches the morning after I took it until I took another one. Also had to keep my temper in check, had what seemed like mild ""roid rage"". I was also nauseated every morning when I woke up (not pregnant and don't drink)."
2487;9;"-night time sleep (at least 5-6 hours per night), more""peaceful"" state of mind, no anxiety attacks, better brain function( no ""brain fog"" from insomnia), better concentration skills,";Constant feeling of hunger( feeling of empty stomach even straight after meal), body weight increased, fluid retention around knees and ankles, very bad depression during first 1-1.5 weeks if taking medication( no withdrawal symptoms though while gradual stopping drug), drug made me sleepy and more tired than usual during the day, crankiness and bad moods in the morning, hard to wake up in the morning
4078;10;Pain reduction, increased mobility and range of motion. The difference between how I feel with and without Mobic is astonishing. Unfortunately, if I take this drug for more than six months straight, it begins to lose effectiveness. Thus, I now save it for situations where I absolutely need it: travel, sports, etc.;None. My only complaint is that it loses effectiveness when taken over a period of time.
3240;5;I had lighter periods and never felt the ring inside of me during intercourse or during my every day life.;Vaginal irritation, decreased sexual desire, constant yeast infections
2895;7;"It seems to keep my blood pressure and headaches in check, especially during hormonal changes right before my period begins. I am also sleeping better at night (falling asleep and staying asleep; able to get back to sleep during the night), whereas before I was getting only a couple of hours of sleep a night.";none so far
4158;3;Unfortunately this did nothing to heal the skin. It was an expensive experiment for the doctor to misdiagnose my condition, which was not sever but had been present for 9+ months. Eventually I was switched to fluocinonide, which seemed to do only a little better.;No real assistance or side efects were noticed.
2134;8;Reduced Attention Deficit Hyperactivity Disorder symptoms, including inattention, hyperactivity, and impulsivity. Allowed for greater concentraion on projects and tasks at hand. Often before taking the medication I would just feel that it's impossible to get organized, to stick to the job at hand, or keep an appointment. Daily tasks of getting up and ready for the day's work, getting to work on time, and being productive at work were difficult.;Appetite seems to fluctuate, usually being low during the middle of the day and more normal by suppertime. Adequate amounts of food that is nutritional seem to be especially helpfull. Appetite seems to fluctuate, usually being low during the middle of the day and more normal by suppertime. Adequate amounts of food that is nutritional seem to be especially helpfull.
4070;8;Patient had a marked decrease in pain due to arthritis. Joint pain significantly decreased. Joint stiffness decreased a little. Overall, the drug is worth trying for arthritis pain and discomfort.;Stomach pain at times. possibly irritated lining. possible ulcer.
2948;10;The drug did exactly what it was supposed to do. It completely eliminated all nicotine cravings leaving only the psychological aspect to worry about. So if I kept myself busy, the thought of smoking would never even enter my mind.;For the first week or so, I was slightly hyperactive and had some trouble sleeping. That problem went away with some adjustment in the time I took the drug as well as with my bodies assimilation of the drug. I also had a mildly bad taste in my mouth. That too faded away.
3234;7;I did not need to take a pill everyday. There were less side effects compared to the amount in other birth controls. My painful cramps went away.;I gained weight, had migraines, and I had mood swings.
2935;10;Severe pain in entire body was gone, and I mean GONE. I felt like I was a little kid again, able to do anything. I also had increased energy.;Slight weight gain.
2742;10;The treatment is to slow down or reverse to some degree of osteoporosis. no side affects from taking medicine. have not had a bone scan to evaluate any change in my bone loss.;there have been no side affects. do not feel any change in moods, etc.
2334;7;Some decent extra growth of hair, especially on the crown of the head. Ostensibly some on the front of the scalp, but hard to tell. Overall, it definitely has helped to preserve the hair I have (I have a twin brother who is effectively the control group, since he doesn't use such products, and he's getting pretty bald).;A lowering of ability to achieve an erection -- say 10-15% -- and a lowering of overall libido.
1225;10;The pills regulated my menstrual cycle and reduced the occurance of cramps (so severe that I was often bed ridden). Other birth control pills that I had taken previously had undesirable side effects, such as weight gain, which I have not experienced with Levora.;I have headaches, and occasionally migraines, during my menstruation.
1787;7;Patient was more mellow and not as angry or argumentative. Also suicidal ideation went away. Patient was able to keep a job for longer than one year and not get fired due to bad attitude.;Absolute loss of libido, lack of interest in sex. Extreme night sweats. Weird body odor. Ability to sleep for 12+ hours a night.
1509;9;never had a heart attack. helps wit chest pain, and has a slight calming effect.i can workout more without increasing my heart rate too much;I was turned down for health insurance once. i now pay an extra 25% premium. dont think its fair, since i have no heart disease or blockage.
3890;9;Lotronex used to control diarrhea due to chronic irritable bowel syndrome. Thuogh clinical studies were only completed on women I have found the medication to be highly effective with few side effects;occasional constipation which goes away by skipping the medecine for a day
3700;1;None.;I was desperate to feel better, but after the first pill was swallowed, I felt physically and mentally awful. I had palpitations, nausea, uncontrolable shaking, severe headache and felt strangely detatched from the world (it was as if I was watching the world through a dense fog).
2109;2;none-i wanted to see some skin improvement of wrinkles but the side ffects of buning and redness were too severe to wait-not sure ahat else I can say here-i just discontinued the use-had to;burning and redness, had to stop using-it was therefore not effective for me-either my skin was too fragile or the product was just too strong for someone y age perhaps
1740;7;My conclusions of the medication are that it has definately lessened the amount of migraine headaches that I was encountering. I have not had to have an emergency hospital visit in almost a year. This went from a visit occuring almost every other month with horrible painful headaches in between this time. I still get headaches which are tollerable, and if I have a migraine have not had to go to the hospital for pain relief. It has been tolerable. I have now gotten my dose down to 15mg at night time only and am still having the same benefit. My only side effect were some memory difficulty in the beginning. I drove to my doctors office and became disoriented. Rather than panic I laughed it off and pulled over and had to think about where I was going. It has definately had a positive influence on the migraines. It seems to have some sort of effect on eating though. I did loose a bit more weight which I did not need to loose, but now have been able to be back at my normal weight.;Some forgetfulness,, tiredness at onset. Nothing unbearable.
542;8;Trazodone seems to help me to fall asleep faster and sleep longer. I had been having a hard time getting to sleep at night with insomia type effects. I would toss and turn and would have a hard time relaxing and would think about things that would make it hard for me to fall asleep. I started out at 200 mg, which would make me drozy in the mornings, and then changed to 100 mg which enabled me to get to sleep and not have such a side effect.;At first some drozyness in the morning when taking 200mg, then after lowering the dose to 100 mg., the side effects seemed to subside. I have not noticed any side effects since then except that if I do not have the drug, I will have an extremely hard time getting asleep.
110;3;The pain went away and I could walk. my hip was mobile.;horrible. My heart was racing. My blood pressure skyrocketed. I felt like I had a lump in my throat. which is associated with a thyroid problem. So, I could only assume my thryroid was going bad.
1642;10;ceasation of maigrain. The drug provides relive within half an hour of having been administered and prevents further symptomps;there are no aparent side effects from the use of this drug
512;10;my blood pressure decreased from a high pressure, approximately 150/110 to a normal blood pressure of 115/70.;No side effects that I've experienced. Because it is a beta blocker it reduces my heart rated during exercise.
1624;8;The drug has assisted over the years in providing body with appropriate estrogen to keep bones healthy. It has also assisted in elimating hot flashes and causing menapausal systems. Taking hormone replacement therapy assisted me over the years to feel healthy and strong. It replaced needed hormone to my body.;The medication has had few side affects. When first starting to use of when increasing the dosage I experienced pain in my breast. Estrogen replacement assists in lubricating the virgina. One can sometimes become nausated when takin this form of estrogen and is sometimes explosed to yeast infections, Medication has been linked to breast cancer.
2007;10;Reduced pain ability to move about with better ease and comfort.;drowsiness dry mouth sleeping more comfortably euphoria light sensitivity reduced hunger irritability dependance on narcotics to feel comfortable after 30 days had to be weaned off drug
3362;10;The daily itchy throat and coughing spells have stopped. I no longer have to carry cough drops with me for daily attacks. I can now visit my children's homes who have cats and dogs. Before taking this medication, cats caused sever asthma, itchy eyes, nasal congestion. Taking a regimine of singular every day, prevents these symptoms upon interaction with cats. Prior to taking singular, exposure to a home with dogs caused symptoms similar to flu..achiness, rhinitis, sneezing and runny nose. After singular...symptom free. My doctor advised that there is no risk in taking the medication long term, so I plan to continue its prophylactic effect.;Dry nasal passages are the major side effect. This is no so bad, since I use a nasal moisturizer to help with this side effect. I do notice that when I take singular at bedtime I experience tingling in my legs, and when I don't take it, there is none...so this may be a possible side effect. I experience dry lips, but not sure if that is a result of taking singular.
2057;10;This is a miracle drug. By day 3, the hot flashes stopped. I was able to sleep through the night again. The 2 month long headache disappeared. I have more energy and feel like my old self again. My brain function is much improved. No more dizziness, memory loss and the depression is gone. Also I have an increased libido and vaginal moisture returned.;Slight swelling of my breasts.
2104;1;At first, there was some minor improvement in the texture of my skin but then it began to degrade the area around my eye. The skin became thinner in appearance and more and more dry. It seemed to be harming my skin. At that point my dermotologist said my skin may be too sensitive. I do not feel that I have sensitive skin because while I may have a pale color skin, it has a olive tone. I do not sunburn very easily. Then I switched to ROC but had similar results.;Dry and thinning skin.
3247;8;First of all- no babies! So it's effective. It also slowed my periods a lot, i had heavy bleeding and severe cramping before, and now I have a 4 day period with cramping usually only on the first day. It has kept my skin SO clear, and it's almost too easy. Just mark your calendar for the third sunday after insertion, and that's when it comes out!;I don't know if many people have had this, or maybe it's just a coincidence that it started at the same time, but i have developed irritable bowel syndrome since using it. Also, I can't ever seem to get it in far enough, it's always slipping down. It is felt TOO much during sex, so i have to remove it everytime. It's painful for us both if left in. I sometimes feel mentally unstable and can't remember if I felt this before.
1730;10;Once I started using the inhaler it greatly reduced night time waking with asthma symptoms. Early morning breathing became easier instead of tight breathing. My use of a rescue inhaler specifically, Proventil, was cut down from several times a night to usually 0. I only use my rescue inhaler occassionally now instead of routinely. My life has changed with Advair, I highly recommend it!;When I first started it, I noticed a little bit of nervousness, this only lasted a few days, and with continued use, I am no longer having any side effects. I have never experienced any of the lung infections the package insert speaks of, nor have I ever had sudden asthma symptoms after using the Advair Inhaler.
1618;1;there were no benefits. This drug had more bad side effects than good ones. I will never try this again. there were no benefits. This drug had more bad side effects than good ones. I will never try this again.;extreme weight gain and emotional distress.
3301;9;Leveled out my affect, helped me sleep and wake up more refreshed, minimized angry or generally emotional outbursts with my children and husband.;Nausea, dry mouth, decrease in sexual desire and ability to achieve orgasm.
78;10;The eye infection symptoms went away in about two days. My eye had been swollen shut. I had tried some over the counter with no results when I visited the doctor. He hesitated using it due to misuse from patients however my symptoms were so severe he made it happen for me.;I had no side effects with this treatment.
2989;7;The medication helped me with concentrating and it helped calm me down when i was feeling anxious.;THe only side effects I experienced with the medication was usually within an hour of taking it i would get extremely drowsy. I would sleep for about 30 minutes then wake up.
2330;4;Blood pressure was controlled with the same dose as the former drug I used, MiCARDIS. My insurance would not cover it and I started using fosinopril. I didnt think I had adverse effects from it until someone pointed out my dry constant cough.;I developed a dry cough and it seemed to get persistently worse as months went by. I didnt realize the cough could be a side effect from the drug, but as soon as I replaced it with Benicar, the symptons disappeared.
2008;5;Initial dose was highly effective for pain relief. It took effect within 30 minutes and lasted several hours.;No side effects were experienced while taking it.
3478;9;Clear headed, Able to complete projects without procastination, 100% help with short-term memory, lessened depression and anxiety, no more obsessive eating, weight loss...;Dry mouth (which is great because I now drink a lot of water instead of sodas because the sodas don't quinch my thirst)
2890;9;relief of symptoms of Interstitial cystitis, including pain and frequency of urination;Initially - feeling of wooziness, nausea, tiredness. This wore off after 6-8 weeks.
313;7;When I was first on the 20 mg dosage, there was no apparent benefit. When the dosage was upped to 40 mg, there was dramatic reductio of the edema. Then I had mitral valve surgery and took no Furosemide for a while, but eventually the edema returned and the 20 mg dosage helps some. (see side effects);I am not aware of any most of the time. However, after my surgery they kept me on 40 mg and I began having dizziness and severe general malaise in the mornings after taking it. (See treatment details.)
3152;5;decreased chest inflammation;temporary jitters, insomnia, mild nausea
1315;10;Taken each morning 30 minutes before eating, keep me from having any acid reflux. One daily dosage worked for the entire day. Even into the evening, if I ate spicy food or chocolate, I could go to bed without experiencing any heart burn.;None that I have encountered.
